period,n_days,return,sharpe,maxdd
2024-06-30,16,0.027038437501888613,,-0.06211313202417801
2024-07-31,23,0.009413054411047117,0.9499873112520408,-0.027602668145564335
2024-08-31,22,0.0051602085099271555,0.499233942450708,-0.02866542915264303
2024-09-30,19,0.11677229927428634,,-0.026929312581903897
2024-10-31,18,-0.002029531308549992,,-0.005906107777984948
2024-11-30,21,0.059625362300263385,4.9504080781120114,-0.027924411351723855
2024-12-31,22,-0.015326167981854821,-2.9625975531350655,-0.016785034237236207
2025-01-31,18,0.00017322291225529973,,0.0
2025-02-28,18,0.010381421489429554,,-0.004666103384643683
2025-03-31,21,0.00846422854863249,2.4559799721500974,-0.003767863867125132
2025-04-30,21,0.028553959892141156,4.4670162428548865,-0.011236832101686356
2025-05-31,19,0.017462504185528305,,-0.01599195681383181
2025-06-30,20,0.028770737165630056,3.072055865925832,-0.034933220442178614
2025-07-31,23,0.09633293050503,3.7306432531487004,-0.02067437726320076
2025-08-31,21,0.016943830557766715,2.5291502463317546,-0.009023259146735407
2025-09-30,22,0.0014112927350955484,0.18830986110952305,-0.022880224262484594
2025-10-31,17,0.06048637181219374,,-0.017331440927563557
2025-11-30,20,0.0494228116760016,5.366438252032485,-0.010518387054617828
2025-12-31,14,-0.0029517686069953086,,-0.02317052405376374
